Topics,1,Unmapped Elements
Purchase Insurance Question,3,Unmapped Future Behaviors
Read Magazine,3,Unmapped Future Behaviors
Representative's Knowledge,1,Unmapped Elements
Primary Grocery Supplier,3,Unmapped Future Behaviors
Watch/Listen More,3,Unmapped Future Behaviors
Job Search,1,Search
FDIC Information,1,Site Information
Site Information (Content),1,Site Information
Buy with App Over Store,3,Unmapped Future Behaviors
Booking Process,1,Process
Puchase Offline,3,In-Channel Purchase
Manage my Account,3,Manage Account
New Products & Uses,1,Unmapped Elements
Continue in Firm,3,Unmapped Future Behaviors
Use Other SSA Online Services,3,Use More Services
Brand Loyalty,3,Brand Loyalty
Use Rogers Community Forums,3,Use Again
Call Location,3,Contact
Magazine,3,Unmapped Future Behaviors
Visit ESPN.com,3,Visit Website
Community,1,Unmapped Elements
Immediate Supervisor,1,Unmapped Elements
Share Photos,3,Unmapped Future Behaviors
Regulations,1,Unmapped Elements
Use ebuy for RFQs,3,Use Service
Lifestyle Change,3,Unmapped Future Behaviors
Policies,1,Unmapped Elements
Conference Price,1,Unmapped Elements
Likelihood to Book Travel,3,Make Reservation Online
Essential Accelerator,3,Unmapped Future Behaviors
Online-Channel Purchase,3,Other-Channel Purchase
Primary Resource for Cust Serv,3,Primary Resource
Vehicle Descriptions,1,Product Descriptions
Likelihood to Purchase Online,3,In-Channel Purchase
Purchase via Mobile,3,Purchase via Mobile
Attend alum event,3,Unmapped Future Behaviors
Prod Recommendation Review,3,Social Recommend Product
Newsletter Sign Up,3,Unmapped Future Behaviors
Purchase from Target.com,3,In-Channel Purchase
Search Results- Content,1,Unmapped Elements
InChannel Purchase,3,In-Channel Purchase
Compliance Cost,1,Unmapped Elements
Subscribe Data Center,3,Subscribe/Renew
Likelihood to Apply for Products,3,Unmapped Future Behaviors
Recommend Veterans Affairs,3,Recommend Company
Sample Images,1,Unmapped Elements
Shipment Next Time,3,Unmapped Future Behaviors
Likelihood to Contact Dealer,3,Contact
Visit a Doctor,3,Visit in Person
Order Pickup,1,Order Pick-up
Intranet as First Resource,3,Primary Resource
Service Professional Browsing,1,Information Browsing
Use Other Sources,3,Unmapped Future Behaviors
Use as a Primary Resource,3,Primary Resource
Web Experience - Ordering Process,1,Unmapped Elements
Employee Engagement,3,Employee Engagement
Purchase/Register Products,3,Purchase
Purchase Online - Competitor,3,Purchase from Competitor
Likelihood to Outsource to  GE,3,Unmapped Future Behaviors
Recommend company,3,Recommend Company
Use Card Next Time,3,Unmapped Future Behaviors
Primary Resource for Movies and Games,3,Primary Resource
Order Placement,1,Ordering Process
Owner Education Content,1,Unmapped Elements
Use over other channels,3,Unmapped Future Behaviors
Job Finding,1,Unmapped Elements
Participate in Social,3,Future Online Participation
Purchase in Future,3,Purchase Next Time
Click on Ad,3,Click on an Ad
Future Purchase Intent (Caluculated),3,Future Purchase Intent (Calculated)
Purchase/Increase purchase,3,Purchase
View Video Clips,3,Unmapped Future Behaviors
Events,1,Unmapped Elements
Business with Nationwide,3,Increase Business
Use Other Online Services,3,Use More Services
Culture/Environment,1,Unmapped Elements
Purchase as a Gift,3,Unmapped Future Behaviors
Recommend HSBC.com,3,Recommend
Seek More Info,3,Seek More Information
Confidence with Site,3,Unmapped Future Behaviors
Installation,1,Unmapped Elements
Item Quality,1,Unmapped Elements
Recommend Hermes,3,Recommend Company
Apply for Addt. Products Online,3,Unmapped Future Behaviors
Planning Resource,3,Use Again
Primary Resource for Company,3,Primary Resource
Downloader Performance,1,Unmapped Elements
Recommend - Employment,3,Unmapped Future Behaviors
Retirement benefits,1,Unmapped Elements
Likelihood To Do Business With A Competitor,3,Unmapped Future Behaviors
Likelihood to Become a Blue Cross Blue Shield Member,3,Become a Member
Shopping - Purchase Online,3,In-Channel Purchase
Use a Nestle Product,3,Use Product
Likelihood to Watch or Listen to Event,3,Unmapped Future Behaviors
Order Pick-up,1,Order Pick-up
Foreclosure,3,Unmapped Future Behaviors
Look for Bags,3,Unmapped Future Behaviors
Contact a Specialist,3,Contact
Weekly Ad Content,1,Content
Visit a sponsored link,3,Visit A Sponsored Link
Schedule a Service,3,Unmapped Future Behaviors
Mobile Site,3,Use Mobile Site/App
Use Site via Mobile Device,3,Use Site via Mobile Device
Contact Via Channel Again,3,Contact Via Channel Again
Customer Support,1,Unmapped Elements
Recommend to Customers,3,Unmapped Future Behaviors
Brand Training Engagement,3,Unmapped Future Behaviors
Share a Video,3,Unmapped Future Behaviors
GSA Web Content,1,Site Information
Likelihood to Sell Online Again,3,Use Again
Purchase Jeans Offline,3,Purchase Next Time
Coaches,1,Unmapped Elements
Increase Business with Citi,3,Increase Business
Recommend Retailer,3,Recommend Company
Book a Room,3,Make Reservation Online
Contact via Telephone Again,3,Contact Via Channel Again
Pride in FSR,3,Unmapped Future Behaviors
Recommend Service,3,Recommend Products/Services
Likelihood to Contact MEDC,3,Contact
Satiscation,2,Satisfaction
Deposit,3,Unmapped Future Behaviors
Used Vehicle Selling Resource,3,Primary Resource
Purchase Next Time - Offline,3,Other-Channel Purchase
Product Description Information,1,Product Descriptions
Recommend Organization,3,Recommend Company
Recommend Products,3,Recommend Products/Services
Performance Review,1,Unmapped Elements
Look and Feel,1,Look and Feel
Read More Articles on ESPN.com,3,Unmapped Future Behaviors
Contact via Email Again,3,Contact Via Channel Again
Job Announcement,1,Product Descriptions
Functionality,1,Functionality
Likelihood to Continue,3,Use Again
Invest with MD,3,Unmapped Future Behaviors
Primay Resource,3,Primary Resource
Online Application Security,1,Unmapped Elements
Feel Confident,3,Unmapped Future Behaviors
Purchase Via Call Centre Again,3,Purchase
Recommend Employer,3,Employer Recommendation
Willingness to Recommend,3,Recommend Company
Share Information,3,Share Content
Likelihood Become/Renew Member,3,Subscribe/Renew
Request a Sales Call,3,Unmapped Future Behaviors
Seek More  Information,3,Seek More Information
Subscribe/Renew,3,Subscribe/Renew
Purchase Store,3,Other-Channel Purchase
Hotel Searching,1,Product Browsing
Brand Dealership Engagement,3,Unmapped Future Behaviors
Support Accessibility,1,Unmapped Elements
Support Actions,3,Unmapped Future Behaviors
Videos/Podcasts,1,Unmapped Elements
Recommend Information,3,Unmapped Future Behaviors
Place an Order Online,3,Purchase
Return to same Coach,3,Unmapped Future Behaviors
Mobile App,3,Use Mobile Site/App
Visit/Call WSECU,3,Visit in Person
Collaboration,1,Unmapped Elements
Use Site,3,Return
Primary Provider,3,Unmapped Future Behaviors
AARP Membership,3,Become a Member
Recommend This Site,3,Recommend
Primary Resource - Diabetes,3,Primary Resource
Product (Contractor) Browsing,1,Product Browsing
Play Fantasy Games,3,Unmapped Future Behaviors
Inquire with a Doctor,3,Inquire with a Doctor
Reserve Online Pickup Offline,3,Use Store Pick-up
Pickup Process,1,Pickup Process
Use Web Channel,3,Use Web Channel Over Others
Download Information,3,Unmapped Future Behaviors
Resume Building,1,Process
Brand Resonance,3,Brand Resonance
Make a Donation,3,Donate
Recommend Tesco direct's Click+Collect Service,3,Recommend Products/Services
Application Storage - Retrieval,1,Unmapped Elements
Brand Consideration,3,Unmapped Future Behaviors
Continue Relationship,3,Continue Relationship
Acquisition & Retention,3,Purchase Next Time
Social Recommend Vehicle,3,Social Recommend Product
Parcel,1,Unmapped Elements
Project Creation,1,Unmapped Elements
Online Application Requirements,1,Unmapped Elements
Improve - Facilities,3,Unmapped Future Behaviors
Weigh-In,1,Unmapped Elements
Liklihood to Return,3,Return
Brand Commiment,3,Brand Commitment
File Online,3,Unmapped Future Behaviors
Likelihood to Book Reservation,3,Make Reservation Online
Likelihood to Contact Call Ctr,3,Contact
Contact via Pearson Live Chat Again,3,Contact
Recommend Products/Services,3,Recommend Products/Services
Continue Use,3,Continue Using
Communicate Opinion,3,Communicate Experience
Use Next Time,3,Use Again
Electricity Service,1,Unmapped Elements
Game Information,1,Product Descriptions
Subscribe to Addtl Products/Svcs,3,Purchase
Retailer Satisfaction,3,Company/Organization/Brand Satisfaction
Out-of-Channel Purchase,3,Unmapped Future Behaviors
Representative's Attitude,1,Sales Associate Engagement
Likelihood of Staying at FSR,3,Unmapped Future Behaviors
Contact Service,3,Unmapped Future Behaviors
Use Website Tools,3,Use Service
Aggregated Content,1,Unmapped Elements
Maintain Membership,3,Maintain Membership
Post Purchase Communications,1,Unmapped Elements
Video Content,1,Unmapped Elements
Product Offerings,1,Merchandise
City Services,1,Unmapped Elements
Use as a Marketing Resource,3,Unmapped Future Behaviors
Services,1,Services
Watch a Game,3,Unmapped Future Behaviors
Policy Descriptions,1,Product Descriptions
Payment Delivery,1,Unmapped Elements
Purchase Reseller Online,3,Purchase from Partner/Distributor
Likelihood to Use Site  - Manage Plan,3,Unmapped Future Behaviors
Manage and Service Account,3,Manage and Service Account
Check Insurance Coverage,3,Unmapped Future Behaviors
Executive Leadership,1,Unmapped Elements
ONLINE Shopping,3,In-Channel Purchase
Design Browsing,1,Unmapped Elements
Consider Employment,3,Unmapped Future Behaviors
Read in Print,3,Unmapped Future Behaviors
IVR Agent,1,Unmapped Elements
Manager,1,Manager
Resort Images,1,Images
Entertainment Content,1,Unmapped Elements
Historical Resource,3,Unmapped Future Behaviors
Contractor,1,Unmapped Elements
Visit Website,3,Visit Website
Confidence,1,Confidence
Efficiency,1,Unmapped Elements
Likelihood to Use Web Channel Over Call Center,3,Unmapped Future Behaviors
Confidence,3,Brand Confidence
Property Pricing,1,Unmapped Elements
Search,1,Search
Research Site Purchase Offline,3,Unmapped Future Behaviors
Enrollment,1,Enrollment
Manage Service Account,3,Manage and Service Account
Valuable Housing Partner,3,Unmapped Future Behaviors
Conduct Business,3,Unmapped Future Behaviors
Other advertisers,3,Unmapped Future Behaviors
Program Browsing,1,Product Browsing
Purchase at Another Site,3,Purchase from Partner/Distributor
Renew Advertising,3,Unmapped Future Behaviors
Timeliness,1,Timeliness
Use Facility,3,Use a Facility
Seek More Info College,3,Seek More Information
Other Channel Purchase,3,Other-Channel Purchase
Hotel Descriptions,1,Product Descriptions
New vehicle online purchase resource,3,Primary Resource
Return to Site,3,Return
Curated Content,1,News Content
Search Results - Look and Feel,1,Search Results - Look and Feel
Menus,1,Unmapped Elements
My Social Security Information,1,Site Information
Page Design & Structure,1,Unmapped Elements
Likelihood to Continue Earning Points,3,Unmapped Future Behaviors
Service Representative,1,Service Representative
Use Additional Online Services,3,Use More Services
Medicare Plan Finder Results,1,Search Results - Relevance
Physical Environment,1,Physical Environment
Device Images,1,Images
Wellness Coach,1,Unmapped Elements
Sign up for Newsletter,3,Subscribe/Renew
Trust - Trustworthy,3,Trust
Order Experience,1,Order Quality
Purchase or Register,3,Purchase
Future Purchase Intent (Calculated),3,Future Purchase Intent (Calculated)
In Store Visit,3,Unmapped Future Behaviors
Primary Resource Mobile,3,Primary Resource
Hands-on Learning,1,Unmapped Elements
Quality,1,Unmapped Elements
Renew or buy subscription,3,Subscribe/Renew
Make Appointment Online,3,Make an Appointment
Offer Process,1,Unmapped Elements
Purchase,3,Purchase
Recommend - Services,3,Unmapped Future Behaviors
Recommend Meeting,3,Recommend Products/Services
Use Site Instead Other Chan.,3,Increase Business
Return To Website,3,Return
Psychological Reward,1,Psychological Reward
Listen to Audio,3,Unmapped Future Behaviors
Partnership Satisfaction,3,Unmapped Future Behaviors
Visit Additional Sponsored Links,3,Unmapped Future Behaviors
Credit Union Branch,1,Bank Branch
Purchase an Insurance Offline,3,Other-Channel Purchase
Likelihood to Request an Appt,3,Unmapped Future Behaviors
Purchase Next Time (Future),3,Unmapped Future Behaviors
Recommend,3,Recommend
Tasks/ Transaction,1,Tasks and Transactions
Timeliness of Certification,1,Unmapped Elements
Account Information,1,Unmapped Elements
Leadership,1,Leadership
View Weekly Ad,3,Return
Recommend FSR as Employer,3,Unmapped Future Behaviors
Support,1,Support
View and pay bills,3,Manage and Service Account
Benefit Search Process,1,Search Process
Cast Member Engagement,1,Sales Associate Engagement
Likelihood to Click on an Ad,3,Click on an Ad
Future e-newsletter Behavior,3,Unmapped Future Behaviors
Free Subscribe,3,Unmapped Future Behaviors
Training,1,Unmapped Elements
Training,3,Unmapped Future Behaviors
Primary Resource Local,3,Primary Resource
Do Business/Continue to do Business,3,Do Business
Order Items,1,Order Quality
Cash Back Management,1,Account Management
Subscription,1,Unmapped Elements
Consider Nemours,3,Unmapped Future Behaviors
Content Browsing,1,Information Browsing
Likelihood to Pick Up In Store,3,Use Store Pick-up
Follow on Social Network,3,Follow on Social Media
Recommend T-Mobile Phone Shopping,3,Recommend
Apply for More Services,3,Apply
Likelihood to Purchase Catalog,3,Other-Channel Purchase
Department Management,1,Unmapped Elements
Sales-Service agent,1,Sales-Service Representative
Transactions,1,Unmapped Elements
Manage and Service Account(,3,Manage and Service Account
Idea,1,Site Information
Contact Via Phone Again,3,Contact Via Channel Again
Order via Mobile,3,Order via Mobile
Perception,3,Perception
Recommend Program,3,Recommend Program
Likelihood to visit a Mayo Clinic Health System Physician,3,Make an Appointment
Image Content,1,Unmapped Elements
Performance,1,Site Performance
Contact Sales,3,Unmapped Future Behaviors
Likelihood to Apply for Additional Products,3,Apply
Encouragement of Participation,3,Unmapped Future Behaviors
Membership Tiers,1,Membership Tiers
Diversity,1,Unmapped Elements
Response Time,1,Response Speed
Purchase GORE-TEX® Product,3,Purchase
Creating Emergency Kit,3,Unmapped Future Behaviors
Exceed,3,Unmapped Future Behaviors
Product Specific,1,Unmapped Elements
Communicate with Others,3,Communicate Experience
Donation,3,Unmapped Future Behaviors
Store Environment,1,Store Environment
Likelihood To Visit an Ad,3,Visit A Sponsored Link
Likelihood to Visit,3,Unmapped Future Behaviors
Use Delivery Service,3,Use Again
Purchase Merch Online,3,In-Channel Purchase
Goal Accomplishment Index,3,Unmapped Future Behaviors
Lovesac Comfort,1,Unmapped Elements
Recommend Speedway Programs,3,Recommend Program
Administration,1,Unmapped Elements
Primary Online - Ideas/In,3,Primary Resource
Organization Culture,1,Unmapped Elements
Research Online Purch Offline,3,Unmapped Future Behaviors
Return to the JEA automated phone system,3,Use Again
Site Performance - Speed,1,Site Performance
Order Quality,1,Order Quality
Cohesive,1,Unmapped Elements
Return for same activity,3,Unmapped Future Behaviors
Course Administration,1,Unmapped Elements
Use Store Pickup,3,Use Store Pick-up
Make Online Reservation,3,Make Reservation Online
Trust - Level MHV,3,Unmapped Future Behaviors
Primary Listing Management Resource,3,Unmapped Future Behaviors
Use Online Bill Pay,3,Use Service
Make Phone Reservation,3,Book Reservation Offline
Recommend Card,3,Recommend Products/Services
Game Design,1,Unmapped Elements
News Content,1,News Content
Join/Renew,3,Become a Member
Marketplace / Classifieds,3,Unmapped Future Behaviors
Tactical HClx - Process,1,Unmapped Elements
Primary Resource Provider,3,Primary Resource
Marketing Website Content,1,Unmapped Elements
Purchase Flexible Fulfillment,3,Use Store Pick-up
Likelihood to Email Dealer,3,Contact
Impression of ACS,3,Unmapped Future Behaviors
Perception of Regulatory Agencies,3,Unmapped Future Behaviors
Purchase Products/Srvcs,3,Purchase
Recommend  Company 0 to 10,3,Recommend Company
Visit Online Instead Call Center,3,Unmapped Future Behaviors
Purchase  Online,3,In-Channel Purchase
Tactical HClx - Action Awareness,1,Unmapped Elements
Like,3,Unmapped Future Behaviors
Product Images,1,Images
Future Contact,3,Unmapped Future Behaviors
Delivery Experience,1,Delivery
Purchase from CustomInk,3,Purchase Next Time
Recommend Target Account,3,Unmapped Future Behaviors
Benefits Appeal,1,Benefits Appeal
Company Image,3,Unmapped Future Behaviors
Product Experiences,1,Unmapped Elements
Job,1,Job
Company Image,1,Unmapped Elements
Likelihood to Download & View,3,Likelihood to Download & View
Item Browsing,1,Product Browsing
Brand POS Information,1,Unmapped Elements
Purchase Course,3,In-Channel Purchase
Likelihood to Continue Using Site,3,Unmapped Future Behaviors
Device,1,Unmapped Elements
Make An Appointment,3,Make an Appointment
5-Minute Chat Session,1,Unmapped Elements
Purchase Additional AncestryDNA Kit,3,Unmapped Future Behaviors
Snapfish Product Finding,1,Unmapped Elements
Recommend Partner Program,3,Recommend Program
Atmosphere,1,Unmapped Elements
Brand Commitment,3,Brand Commitment
Resolution,1,Resolution
Pick-up Process,1,Unmapped Elements
Purchase over Phone,3,Other-Channel Purchase
Likelihood to use eHarmony.com,3,Use Service
Accessibility,1,Accessibility
Social Recommend Product,3,Social Recommend Product
Visit Online Instead of Branch,3,Unmapped Future Behaviors
Volunteer,3,Volunteer
Purchase Products & Services,3,Purchase
Digital,1,Unmapped Elements
Therapy Descriptions,1,Product Descriptions
Recommend Ownership,3,Recommend Company
Redeem in the Future,3,Unmapped Future Behaviors
Site Images,1,Images
Regulatory Participation,3,Future Participation
Gilt Brand Preference,3,Brand Preference
Brand Confidence,3,Brand Confidence
Navigation,1,Navigation
Upsell,3,Unmapped Future Behaviors
Account Team,1,Unmapped Elements
Return this month,3,Return
Menu Item Descriptions,1,Product Descriptions
Purchase another site,3,Purchase from Partner/Distributor
Post Listing Communication,1,Unmapped Elements
Purchase Offline,3,Other-Channel Purchase
Recommend this Company,3,Recommend Company
Visit Dealer,3,Visit in Person
Food Images,1,Images
Continued Use Of App,3,Unmapped Future Behaviors
Contact Financial Advisor,3,Contact
Credit Request,1,Unmapped Elements
Product/Service Quality,1,Product Quality
Primary Mobile Resource,3,Primary Resource
Primary Resource-Clinical Knowledge,3,Unmapped Future Behaviors
Use Search Again,3,Unmapped Future Behaviors
Continue Business,3,Use Service
Online Experience,1,Unmapped Elements
Task/Transactions,1,Tasks and Transactions
Product,1,Product
Site Performance,1,Site Performance
Register Online,3,Subscribe/Renew
Lead Generation,3,Contact
Design,1,Unmapped Elements
Watch More ESPN TV,3,Unmapped Future Behaviors
Buy Online,1,Ordering Process
Purchase Tickets Online,3,In-Channel Purchase
Return to Gilt,3,Return
Apply again,3,Apply
Tasks/Transactions,1,Tasks and Transactions
Likelihood to Purchase Company,3,Purchase
Likelihood to Contact a Specialist,3,Contact
Product/Service,1,Unmapped Elements
Continue Updating Resume,3,Unmapped Future Behaviors
Return to Store,3,Unmapped Future Behaviors
Personal,1,Unmapped Elements
Contact Call Center Again for Service,3,Contact Via Channel Again
Use Service Again,3,Use Service
Recommend Company,3,Recommend Company
Likelihood to Purchase from Target Store,3,Other-Channel Purchase
Purchase Next 3 Months,3,Other-Channel Purchase
Experience,3,Communicate Experience
Health Plan Browsing,1,Product Browsing
Work Balance,1,Unmapped Elements
Experience,1,Unmapped Elements
Search Results-Look&Feel,1,Search Results - Look and Feel
Contact Nordstrom Contact Center Again for Service,3,Contact Via Channel Again
Reservation Online,3,Make Reservation Online
Log In,3,Unmapped Future Behaviors
Lovesac Quality,1,Unmapped Elements
Call Center,3,Contact
Monitor Progress Online,3,Unmapped Future Behaviors
Redeem Online,3,Unmapped Future Behaviors
Registry Desk,1,Sales Associate Engagement
Recommend Store Pick-up,3,Recommend Store Pickup
Magazine Layout,1,Unmapped Elements
Primary Resource Financial,3,Primary Resource
Website,1,Unmapped Elements
Talk to Health Care Professional,3,Unmapped Future Behaviors
Contact a Representative,3,Contact
Invest Competitor,3,Unmapped Future Behaviors
Website,3,Visit Website
Communicate Exp.,3,Comm Exp on Social Network
Purchases Offline - Photo,3,Use Store Pick-up
Recommend Subscription,3,Subscribe/Renew
Use The Site Next Time,3,Use Again
Explanation of Rules,1,Unmapped Elements
Likelihood to recommend products & services,3,Recommend Products/Services
Dealership Consideration,3,Unmapped Future Behaviors
Store Pickup Value,1,Unmapped Elements
Download,1,Download
Primary Resource for Market Data,3,Primary Resource
Room & Amenities Descriptions,1,Product Descriptions
Benefit Information,1,Site Information
Purchase Ticket Offline,3,Other-Channel Purchase
Use App Again,3,Unmapped Future Behaviors
Puchase a Nestle Product,3,Purchase
Promotion Quality,1,Unmapped Elements
Likelihood to Respond to Offer,3,Unmapped Future Behaviors
Purchase Additional Prod/Svcs,3,Purchase
Reporting,1,Unmapped Elements
Snapfish Create,1,Unmapped Elements
Likelihood to Apply for Product,3,Apply
Search Results- Look & Feel,1,Unmapped Elements
Make an Appointment Online,3,Unmapped Future Behaviors
Purchase Web,3,In-Channel Purchase
Likely to Apply,3,Unmapped Future Behaviors
Enhance Reputation,3,Unmapped Future Behaviors
Reserve Next Time,3,Unmapped Future Behaviors
Purchase- This site,3,In-Channel Purchase
Site Perfomance,1,Site Performance
Increase use of Services tools,3,Use Service
Likelihood to Use Services,3,Use More Services
Agent / Rep Role,1,Unmapped Elements
Primary Resource-Info,3,Primary Resource
Travel Information,1,Travel Information
Likelihood to Book Travel Offline,3,Book Reservation Offline
Business Climate Perception,3,Unmapped Future Behaviors
Course Content,1,Unmapped Elements
Manage account online,3,Manage Account
Messaging Navigation,1,Unmapped Elements
Application Process,1,Process
Upgrade,3,Upgrade
Fill Prescription,3,Unmapped Future Behaviors
Future Purchase Intent,3,Future Purchase Intent (Calculated)
Overall Impression,3,Overall Impression
Continued Use,3,Unmapped Future Behaviors
Prefer Web Channel,3,Use Web Channel Over Others
Purchase from Target Store,3,Other-Channel Purchase
Ordering,1,Unmapped Elements
Recommend this site,3,Recommend
Snapfish Photo Process,1,Unmapped Elements
Agency Services,1,Unmapped Elements
Look and Feel of Email,1,Look and Feel
Department Head,1,Unmapped Elements
Price/Value,1,Price
Purchase Add. Products/Services,3,Purchase
Likelihood to Repurchase,3,Purchase
Purchase products,3,Purchase
Use again,3,Return
Use Store Pick-up,3,Use Store Pick-up
Call Again,3,Contact
Commitment,3,Unmapped Future Behaviors
Recommend Weekly Ad,3,Unmapped Future Behaviors
Brand Satisfaction,3,Unmapped Future Behaviors
Discussion,1,Unmapped Elements
Maintain relationship,3,Do Business
Likelihood to Visit an Ad,3,Click on an Ad
Loyalty,3,Unmapped Future Behaviors
Hotel Price,1,Price
Website Information,1,Site Information
Bank Branches,1,Unmapped Elements
Use More Services,3,Use More Services
Continue Earning Points,3,Unmapped Future Behaviors
Visit Advertised Link,3,Visit A Sponsored Link
Subscribe to E-Newsletter,3,Subscribe/Renew
Contact via phone Again for Service,3,Contact Via Channel Again
Likelihood to Increase Busniess,3,Increase Business
Buy with App Not Site,3,Unmapped Future Behaviors
Forward Email,3,Unmapped Future Behaviors
Reservation Process,1,Unmapped Elements
Recommend FSR Services,3,Unmapped Future Behaviors
Retail/Organization Satisfaction,3,Company/Organization/Brand Satisfaction
Recommend Next 30 Days,3,Recommend Company
Finding Listings,1,Unmapped Elements
Recommend Team,3,Unmapped Future Behaviors
Register for Support,3,Unmapped Future Behaviors
Return for Similar Activity,3,Unmapped Future Behaviors
Intention for other products,3,Unmapped Future Behaviors
Social Sharing - Share Content,3,Unmapped Future Behaviors
Workforce Training/Education,1,Unmapped Elements
Participate in Social Media,3,Participate in Social Media
Pricing/Promotions,1,Unmapped Elements
Use Services Again,3,Use Store Pick-up
Community Service,3,Unmapped Future Behaviors
Voice Service Ease,1,Unmapped Elements
Coverage,1,Unmapped Elements
Listings Browsing,1,Product Browsing
